nuts2_code;biomass_production_twh_medium_total;biomass_production_twh_low_total;biomass_production_twh_high_total;biomass_production_twh_medium_agri&landscape _residues;biomass_production_twh_low_agri&landscape _residues;biomass_production_twh_high_agri&landscape _residues;biomass_production_twh_medium_energy_crops;biomass_production_twh_low_energy_crops;biomass_production_twh_high_energy_crops;biomass_production_twh_medium_forestry;biomass_production_twh_low_forestry;biomass_production_twh_high_forestry;wind_onshore_capacity_gw_medium;wind_onshore_capacity_gw_low;wind_onshore_capacity_gw_high;wind_onshore_production_twh_medium;wind_onshore_production_twh_low;wind_onshore_production_twh_high;wind_onshore_land_use_percentage_medium;wind_onshore_land_use_percentage_low;wind_onshore_land_use_percentage_high;solar_capacity_gw_medium_total;solar_capacity_gw_low_total;solar_capacity_gw_high_total;solar_capacity_gw_medium_pv_roof;solar_capacity_gw_low_pv_roof;solar_capacity_gw_high_pv_roof;solar_capacity_gw_medium_pv_ground;solar_capacity_gw_low_pv_ground;solar_capacity_gw_high_pv_ground;solar_capacity_gw_medium_csp;solar_capacity_gw_low_csp;solar_capacity_gw_high_csp;solar_production_twh_medium_total;solar_production_twh_low_total;solar_production_twh_high_total;solar_production_twh_medium_pv_roof;solar_production_twh_low_pv_roof;solar_production_twh_high_pv_roof;solar_production_twh_medium_pv_ground;solar_production_twh_low_pv_ground;solar_production_twh_high_pv_ground;solar_production_twh_medium_csp;solar_production_twh_low_csp;solar_production_twh_high_csp
DE60;0.018278;0.011187;0.050453;0.001769;0.001769;0.001769;0.007544;0.000453;0.008303;0.008964;0.008964;0.040381;0.21;0.025;0.305;0.44551371;0.053037346;0.647055626;0.055629139;0.006622517;0.080794702;4.74;2.37;8.37;3.8;1.9;6.71;0.94;0.47;1.67;0;0;0;4.03;2.02;7.12;3.23;1.62;5.7;0.8;0.4;1.42;0;0;0
DE71;3.418205;2.730349;6.388883;1.116775;0.656047;1.441742;1.347464;1.120336;1.646108;0.953966;0.953966;3.301033;0;0;0;0;0;0;0;0;0;17.31;8.65;30.54;8.32;4.16;14.68;8.99;4.49;15.86;0;0;0;16.12;8.06;28.45;7.75;3.88;13.68;8.37;4.19;14.77;0;0;0
DE72;2.358878;1.706825;4.361386;0.842392;0.457728;1.170414;0.923578;0.656189;1.1687;0.592908;0.592908;2.022272;0;0;0;0;0;0;0;0;0;13.3;6.65;23.46;2.5;1.25;4.41;10.8;5.4;19.05;0;0;0;11.86;5.93;20.92;2.23;1.11;3.93;9.63;4.81;16.99;0;0;0
DE73;3.902504;2.854948;7.078025;1.498339;0.847;2.095783;1.514633;1.118417;1.868878;0.889532;0.889532;3.113364;0.462228373;0.259128027;1.833155707;0.911052124;0.510741342;3.613149899;0.011147435;0.006249319;0.044209712;18.86;9.43;33.29;2.93;1.47;5.17;15.93;7.97;28.12;0;0;0;16.42;8.21;28.97;2.55;1.28;4.5;13.87;6.93;24.47;0;0;0
DE80;17.46192;12.180039;25.358783;8.434472;6.141172;10.797906;7.369633;4.381053;8.717692;1.657814;1.657814;5.843186;18.92;12.97;46.87;46.1292018;31.62239679;114.2746136;0.16537016;0.113364216;0.409666987;65.09;32.54;114.86;3.96;1.98;6.98;61.13;30.56;107.87;0;0;0;57.69;28.85;101.81;3.51;1.75;6.19;54.18;27.09;95.62;0;0;0
DE91;6.493903;5.108023;9.729336;2.675864;1.7737;3.61055;3.123156;2.639439;3.591044;0.694884;0.694884;2.527742;2.436619413;1.482034119;8.361520005;4.802576864;2.921089248;16.48055593;0.059985707;0.03648533;0.205847366;22.87;11.44;40.36;3.85;1.92;6.79;19.02;9.51;33.57;0;0;0;20.03;10.01;35.34;3.37;1.69;5.95;16.66;8.33;29.4;0;0;0
DE92;9.004184;7.074464;16.466736;3.750942;2.400525;5.100778;3.225744;2.646442;3.778858;2.027498;2.027498;7.5871;3.187755089;1.931697963;12.77822737;6.647966843;4.028497688;26.64860677;0.07021487;0.042548413;0.281458753;29.19;14.6;51.51;5.13;2.56;9.05;24.06;12.03;42.46;0;0;0;25.68;12.84;45.32;4.51;2.26;7.96;21.17;10.59;37.36;0;0;0
DE93;10.501193;7.316801;17.157708;5.675575;3.060958;7.964178;3.426886;2.857111;4.091808;1.398732;1.398732;5.101722;7.255085784;4.583302696;24.45007353;16.42192409;10.37432929;55.34286752;0.093789487;0.059250245;0.316076188;46.52;23.26;82.09;4.09;2.05;7.23;42.42;21.21;74.86;0;0;0;40.15;20.07;70.85;3.53;1.77;6.24;36.61;18.31;64.61;0;0;0
DE94;13.13306;9.238848;20.176028;8.992506;5.541853;12.191339;2.834833;2.391275;3.443308;1.305721;1.305721;4.541381;7.105;4.225;26.84;16.92296195;10.06326731;63.92854312;0.095369128;0.056711409;0.360268456;47.86;23.93;84.46;5.98;2.99;10.55;41.89;20.94;73.92;0;0;0;41.2;20.6;72.71;5.15;2.57;9.08;36.06;18.03;63.63;0;0;0
DEA1;3.058974;2.207637;4.514306;1.353331;0.640656;2.048961;1.455525;1.316864;1.623292;0.250118;0.250118;0.842053;0.945;0.095;3.355;2.005247103;0.201585688;7.119157706;0.035673839;0.003586259;0.126651567;21.88;10.94;38.62;11.08;5.54;19.54;10.81;5.4;19.07;0;0;0;19.51;9.75;34.42;9.87;4.94;17.42;9.63;4.82;17;0;0;0
DEA2;4.433456;3.581425;6.826939;1.564522;0.891297;2.187936;2.267061;2.088256;2.579889;0.601872;0.601872;2.059114;1.23159467;0.181897059;3.27414706;2.568845746;0.379398756;6.829177613;0.033349436;0.004925455;0.088658193;20.29;10.15;35.81;9.89;4.95;17.46;10.4;5.2;18.35;0;0;0;17.91;8.96;31.61;8.73;4.37;15.41;9.18;4.59;16.2;0;0;0
DEA3;4.654757;2.90739;7.834806;2.841767;1.340461;4.745094;1.423694;1.177633;1.657719;0.389296;0.389296;1.431992;6.92;1.69;12.965;14.02651957;3.425551744;26.27945465;0.1997114;0.048773449;0.374170274;27.29;13.65;48.16;6.14;3.07;10.83;21.15;10.58;37.33;0;0;0;24.15;12.07;42.61;5.43;2.72;9.58;18.71;9.36;33.03;0;0;0
DEA4;4.207999;2.765593;6.709136;2.132358;1.066097;3.217078;1.639839;1.263694;1.912164;0.435801;0.435801;1.579894;3.370680145;1.274191176;6.037591907;6.889442895;2.604360831;12.34043068;0.10366539;0.039187796;0.185686357;20.12;10.06;35.5;4.94;2.47;8.72;15.17;7.59;26.78;0;0;0;17.46;8.73;30.81;4.29;2.15;7.57;13.17;6.58;23.24;0;0;0
DEA5;3.419597;2.430542;6.643006;1.3954;0.651664;2.095803;1.107772;0.862453;1.299136;0.916425;0.916425;3.248067;1.70101629;0.573102263;3.185595023;3.451554941;1.162889478;6.463933536;0.042456416;0.014304312;0.079510671;19.51;9.75;34.42;8.48;4.24;14.97;11.03;5.51;19.46;0;0;0;16.39;8.19;28.92;7.12;3.56;12.57;9.26;4.63;16.35;0;0;0
DEB1;3.438084;2.61872;6.448892;1.151128;0.687936;1.616319;1.361567;1.005394;1.617153;0.925389;0.925389;3.215419;0.194791667;0.103125;1.164031866;0.383934376;0.203259376;2.294306809;0.004814426;0.002548814;0.028769942;18.86;9.43;33.29;3.6;1.8;6.36;15.26;7.63;26.93;0;0;0;16.97;8.48;29.94;3.24;1.62;5.72;13.73;6.86;24.22;0;0;0
DEB2;2.093059;1.6057;4.201478;0.763578;0.397189;1.107908;0.681103;0.560133;0.882539;0.648378;0.648378;2.211031;0.220915033;0.111930283;1.313708061;0.43542353;0.220614588;2.589318589;0.008976637;0.004548163;0.053381067;9.3;4.65;16.41;1.27;0.63;2.24;8.03;4.02;14.18;0;0;0;8.2;4.1;14.48;1.12;0.56;1.97;7.08;3.54;12.5;0;0;0
DEB3;3.897039;3.167978;6.752569;1.259356;0.763044;1.715703;1.767764;1.535014;2.061203;0.869919;0.869919;2.975664;0.379427807;0.210478609;1.563959889;0.747852207;0.414853339;3.082564941;0.011135079;0.006176922;0.045897576;17.76;8.88;31.35;4.78;2.39;8.43;12.98;6.49;22.91;0;0;0;17.17;8.59;30.31;4.62;2.31;8.15;12.55;6.28;22.15;0;0;0
DEC0;0.853336;0.681241;1.804008;0.260039;0.158664;0.406803;0.32525;0.254531;0.468872;0.268047;0.268047;0.928333;0.101341177;0.074964706;0.323458824;0.199743459;0.147755435;0.637537342;0.007892615;0.005838373;0.025191497;4.55;2.27;8.02;2.42;1.21;4.27;2.13;1.06;3.75;0;0;0;4.21;2.1;7.42;2.24;1.12;3.95;1.97;0.98;3.47;0;0;0
DED2;5.012097;3.789805;7.512411;2.374175;1.771719;2.919744;1.998508;1.378672;2.262231;0.639414;0.639414;2.330436;2.673195187;1.994756684;8.262938502;5.390558452;4.022471893;16.66240206;0.067419803;0.050309122;0.208396936;21.74;10.87;38.36;3.89;1.94;6.86;17.85;8.93;31.5;0;0;0;19.91;9.96;35.14;3.56;1.78;6.28;16.35;8.18;28.86;0;0;0
DED4;4.278658;3.149022;6.255006;2.102208;1.540492;2.586433;1.685178;1.117258;1.875922;0.491272;0.491272;1.79265;2.574430149;1.932237134;6.781218756;5.074201824;3.808439391;13.36578217;0.078885557;0.059207511;0.207789758;21.37;10.69;37.72;3.59;1.79;6.33;17.78;8.89;31.38;0;0;0;19.08;9.54;33.66;3.2;1.6;5.65;15.87;7.94;28.01;0;0;0
DED5;3.155397;2.296692;4.107608;1.478908;1.135164;1.841558;1.490806;0.975844;1.66765;0.185684;0.185684;0.5984;1.781348615;1.08934602;6.933419547;3.51103812;2.147101006;13.66576993;0.089156587;0.054521823;0.347017995;14.69;7.35;25.93;2.41;1.21;4.25;12.28;6.14;21.67;0;0;0;13.62;6.81;24.03;2.23;1.12;3.94;11.38;5.69;20.09;0;0;0
DEE0;4.766179;3.050757;8.257719;0.181839;0.181839;0.181839;3.417797;1.702375;3.759569;1.166543;1.166543;4.316311;13.70066176;10.01010588;30.01882058;27.00400433;19.72991869;59.16709536;0.133645435;0.09764528;0.29282369;56.24;28.12;99.24;5.54;2.77;9.78;50.69;25.35;89.46;0;0;0;50.88;25.44;89.79;5.01;2.51;8.85;45.86;22.93;80.94;0;0;0
DEF0;12.354184;7.113809;17.647903;7.435583;3.675433;10.830817;4.455906;2.975681;5.182083;0.462695;0.462695;1.635003;11.44;3.33;29.15;31.64524397;9.211421539;80.63451587;0.148696952;0.043283291;0.378891272;54.18;27.09;95.62;6.88;3.44;12.14;47.3;23.65;83.48;0;0;0;47.07;23.53;83.06;5.98;2.99;10.55;41.09;20.54;72.51;0;0;0
DEG0;11.268897;8.344575;17.295803;5.3173;3.928114;6.669183;4.442264;2.907128;5.067033;1.509333;1.509333;5.559586;4.251134451;2.783613444;12.85361344;8.378986004;5.486502098;25.33447209;0.052437825;0.034335925;0.158549568;46.63;23.31;82.28;5.28;2.64;9.32;41.35;20.67;72.96;0;0;0;41.53;20.77;73.29;4.7;2.35;8.3;36.83;18.41;64.99;0;0;0
DK01;0.977674;0.695718;1.590275;0.777408;0.523028;1.029367;0.050486;0.022911;0.166614;0.14978;0.14978;0.394294;1;0.175;1.815;3.41119875;0.596959781;6.191325731;0.080096115;0.01401682;0.145374449;9.29;4.64;16.39;4.22;2.11;7.45;5.06;2.53;8.94;0;0;0;8.6;4.3;15.18;3.91;1.96;6.9;4.69;2.35;8.28;0;0;0
DK02;4.469618;3.145007;6.947981;3.551161;2.351667;4.803558;0.610653;0.485536;1.338394;0.307804;0.307804;0.806028;7.87;1.275;13.06;24.9050085;4.03480125;41.329023;0.222002821;0.03596615;0.368406206;25.11;12.55;44.3;2.03;1.01;3.58;23.08;11.54;40.73;0;0;0;23.13;11.57;40.82;1.87;0.93;3.3;21.26;10.63;37.52;0;0;0
DK03;6.830912;4.708009;10.674839;5.928478;3.960614;7.911261;0.322011;0.166972;1.437581;0.580423;0.580423;1.325997;17.77;4.875;25.65;54.2493222;14.8826925;78.305859;0.299082723;0.082049987;0.431709164;44.58;22.29;78.68;2.97;1.48;5.24;41.62;20.81;73.44;0;0;0;38.81;19.4;68.49;2.58;1.29;4.56;36.23;18.11;63.93;0;0;0
DK04;7.071697;4.949286;11.342767;6.05135;4.068678;8.068389;0.321406;0.181667;1.464631;0.698942;0.698942;1.809747;15.28;3.1;24.56;47.643231;9.66583875;76.578387;0.234715822;0.047619048;0.377265745;46.01;23.01;81.2;3.15;1.57;5.55;42.87;21.43;75.65;0;0;0;39.57;19.78;69.82;2.71;1.35;4.77;36.86;18.43;65.05;0;0;0
DK05;4.241329;2.898665;6.770922;3.765214;2.504794;5.0599;0.188064;0.105819;0.873556;0.288051;0.288051;0.837467;12.75;3.18;17.92;43.84879594;10.93640558;61.6290528;0.326588115;0.081454918;0.459016393;26.81;13.41;47.31;1.45;0.72;2.56;25.36;12.68;44.76;0;0;0;23.98;11.99;42.32;1.3;0.65;2.29;22.69;11.34;40.03;0;0;0
EE00;13.666853;11.500342;25.187447;4.130014;3.189128;5.057675;3.925728;2.700103;4.943303;5.611111;5.611111;15.186469;27.28;23.03;45.905;64.31949984;54.2990499;108.2326481;0.121007807;0.102155784;0.203624024;55.33;27.66;97.64;3.25;1.63;5.74;52.08;26.04;91.9;0;0;0;46.22;23.11;81.56;2.72;1.36;4.79;43.5;21.75;76.76;0;0;0
EL30;0.375616;0.218125;0.736025;0.207853;0.078139;0.309736;0.15425;0.126472;0.378028;0.013514;0.013514;0.048261;4.88988866;3.117735297;5.272548325;12.21936981;7.790925975;13.17560017;0.265610465;0.169350098;0.286395889;14.83;7.42;26.17;8.49;4.24;14.98;5.82;2.91;10.28;0.52;0.26;0.92;21.41;10.7;37.78;12.25;6.13;21.62;8.41;4.2;14.84;0.75;0.38;1.33
EL41;0.884346;0.464399;1.473242;0.716653;0.296706;1.080928;0.140667;0.140667;0.310306;0.027027;0.027027;0.082008;12.055;10.87;12.245;36.80903171;33.19072374;37.38918235;0.65766503;0.593016912;0.668030551;8.88;4.44;15.66;0.44;0.22;0.77;7.6;3.8;13.42;0.84;0.42;1.48;12.7;6.35;22.42;0.62;0.31;1.1;10.88;5.44;19.21;1.2;0.6;2.11
EL42;0.425057;0.305101;0.850767;0.106419;0.069797;0.198194;0.264583;0.18125;0.516056;0.054054;0.054054;0.136517;18.885;16.795;19.26;59.63938901;53.03910714;60.82365011;0.769246436;0.684114053;0.784521385;11.56;5.78;20.4;0.73;0.37;1.3;10.19;5.1;17.99;0.63;0.32;1.12;17.49;8.74;30.86;1.11;0.56;1.96;15.42;7.71;27.21;0.96;0.48;1.69
EL43;1.336587;0.886212;2.591681;0.703047;0.28045;1.042042;0.563194;0.535417;1.341722;0.070345;0.070345;0.207917;23.23104861;20.93984656;23.5609527;58.55194605;52.77715986;59.38344216;0.572193315;0.515759767;0.580319032;24.38;12.19;43.02;1.39;0.69;2.44;22.17;11.09;39.13;0.82;0.41;1.44;33.14;16.57;58.48;1.88;0.94;3.32;30.14;15.07;53.2;1.11;0.55;1.96
EL51;2.954689;2.5351;4.159972;0.984667;0.506056;1.491225;1.7475;1.806522;1.997222;0.222523;0.222523;0.671525;16.43668066;13.22611344;16.87899159;36.52466923;29.39032694;37.50754774;0.235955795;0.189866687;0.242305363;29.08;14.54;51.31;1.46;0.73;2.57;27.6;13.8;48.71;0.02;0.01;0.04;37.57;18.79;66.3;1.88;0.94;3.32;35.66;17.83;62.94;0.03;0.01;0.05
EL52;5.99953;4.864413;8.032483;2.041953;1.046917;3.086439;3.708028;3.567947;4.253833;0.24955;0.24955;0.692211;6.563941183;4.782784319;6.825377458;12.93752807;9.426867892;13.45281897;0.070383242;0.051284413;0.073186548;55.67;27.83;98.23;4.18;2.09;7.38;51.48;25.74;90.86;0;0;0;74.71;37.35;131.83;5.61;2.81;9.9;69.09;34.55;121.93;0;0;0
EL53;1.454386;1.194686;2.134211;0.69525;0.432964;0.980539;0.64825;0.650836;0.796417;0.110886;0.110886;0.357256;5.57897457;4.798441978;5.679553267;12.26190133;10.5463865;12.48296096;0.117427375;0.100998568;0.119544375;23.97;11.99;42.3;0.67;0.33;1.18;23.3;11.65;41.12;0;0;0;29.24;14.62;51.6;0.82;0.41;1.44;28.42;14.21;50.16;0;0;0
EL54;1.913915;1.491615;2.994722;0.508892;0.307811;0.737369;1.237306;1.016086;1.719417;0.167718;0.167718;0.537936;6.930148747;5.615273115;7.113772276;17.68115669;14.32646361;18.14964251;0.152814746;0.123820796;0.156863777;37.61;18.81;66.38;1.77;0.88;3.12;35.84;17.92;63.25;0;0;0;50.2;25.1;88.6;2.36;1.18;4.17;47.84;23.92;84.43;0;0;0
EL61;1.939292;1.090523;3.575986;1.247769;0.537889;1.928078;0.471778;0.332889;1.057861;0.219745;0.219745;0.590047;8.780197066;7.160889712;9.002413243;19.9822143;16.29695003;20.48794;0.126043598;0.102797728;0.12923361;12.45;6.23;21.98;0.75;0.37;1.32;11.19;5.59;19.75;0.52;0.26;0.91;16.07;8.04;28.36;0.97;0.48;1.71;14.44;7.22;25.48;0.66;0.33;1.17
EL62;0.183516;0.153135;0.385544;0.0416;0.038997;0.071444;0.114889;0.087111;0.226389;0.027027;0.027027;0.087711;5.506863323;4.898675607;5.606384949;13.66104574;12.15229571;13.90793211;0.506378237;0.450452929;0.515529651;4.62;2.31;8.16;0.46;0.23;0.8;3.79;1.89;6.69;0.38;0.19;0.67;6.64;3.32;11.72;0.66;0.33;1.16;5.45;2.72;9.61;0.54;0.27;0.96
EL63;1.958916;1.433166;3.214036;0.548058;0.327231;0.798147;1.299972;0.99505;2.029944;0.110886;0.110886;0.385944;14.57050002;12.73137718;14.82039275;35.09356803;30.6639752;35.69544358;0.25967742;0.226900324;0.264131042;24.84;12.42;43.84;1.49;0.74;2.63;19.29;9.64;34.04;4.06;2.03;7.17;34.67;17.33;61.18;2.08;1.04;3.67;26.92;13.46;47.5;5.67;2.84;10.01
EL64;1.540107;1.026366;2.868133;0.583556;0.319392;0.876917;0.818639;0.569061;1.514444;0.137913;0.137913;0.476772;17.54150586;15.30817645;17.83954115;41.75342491;36.43751004;42.46282776;0.22849428;0.199403106;0.232376464;31.02;15.51;54.75;1.23;0.61;2.17;29.62;14.81;52.27;0.17;0.09;0.31;41.47;20.74;73.19;1.64;0.82;2.9;39.6;19.8;69.88;0.23;0.12;0.41
EL65;2.13783;1.501105;3.631225;0.979267;0.480797;1.366081;0.922528;0.784272;1.620333;0.236036;0.236036;0.644811;27.44495665;25.17396106;27.76831033;64.68437238;59.33191633;65.44647705;0.357589012;0.327999493;0.361802089;34.91;17.45;61.6;1.29;0.64;2.27;31.98;15.99;56.44;1.64;0.82;2.9;49.58;24.79;87.49;1.82;0.91;3.22;45.42;22.71;80.15;2.33;1.17;4.12
ES11;4.997169;3.103508;9.699103;1.942469;0.910467;2.917433;2.436064;1.574406;4.23245;0.618636;0.618636;2.549219;14.55740796;7.871919117;16.08238261;33.38050079;18.05050755;36.87730582;0.099235884;0.053661809;0.10963143;34.83;17.42;61.47;6.06;3.03;10.7;28.75;14.38;50.74;0.02;0.01;0.03;40.96;20.48;72.28;7.13;3.56;12.58;33.81;16.91;59.67;0.02;0.01;0.03
ES12;1.076358;0.759047;3.145778;0.573947;0.339969;0.813736;0.225481;0.142147;1.225842;0.27693;0.27693;1.1062;7.030520396;5.284458727;7.403795064;17.58674297;13.21899548;18.52048404;0.132563786;0.099640968;0.139602056;10.2;5.1;17.99;2.34;1.17;4.12;7.86;3.93;13.87;0;0;0;11.21;5.61;19.79;2.57;1.29;4.54;8.64;4.32;15.25;0;0;0
ES13;0.723807;0.348485;2.049681;0.479808;0.134731;0.846078;0.144653;0.114408;0.7008;0.099346;0.099346;0.502803;2.192790922;1.499071612;2.373530052;5.015552875;3.428814329;5.428956021;0.08295029;0.056707835;0.089787405;5.15;2.57;9.08;1.3;0.65;2.29;3.85;1.93;6.8;0;0;0;5.78;2.89;10.2;1.46;0.73;2.57;4.32;2.16;7.63;0;0;0
ES21;2.964405;2.593652;4.618836;0.428017;0.197253;0.709656;2.304097;2.164108;3.048447;0.232291;0.232291;0.860733;3.152631844;1.371671399;3.559155424;7.068127456;3.075255455;7.979543892;0.087585271;0.038107276;0.098879162;13.29;6.65;23.46;4.78;2.39;8.44;8.51;4.26;15.02;0;0;0;14.6;7.3;25.77;5.25;2.63;9.27;9.35;4.67;16.5;0;0;0
ES22;5.345046;3.888779;8.918244;1.543514;0.976906;2.164706;3.469894;2.580236;5.441922;0.331637;0.331637;1.311617;13.67070701;8.036402714;14.76147624;29.99096351;17.63035813;32.38390633;0.263455522;0.154873824;0.28447632;21.16;10.58;37.34;1.4;0.7;2.48;17.71;8.85;31.25;2.05;1.02;3.61;25.74;12.87;45.43;1.71;0.85;3.02;21.54;10.77;38.02;2.49;1.24;4.39
ES23;2.296102;1.764693;4.063639;0.501122;0.270608;0.700833;1.710067;1.409172;2.931075;0.084913;0.084913;0.431731;4.878567954;2.895736817;5.240078603;10.24554561;6.081375501;11.00475895;0.193134123;0.114637245;0.207445709;7.98;3.99;14.08;0.7;0.35;1.23;7.26;3.63;12.82;0.02;0.01;0.04;10.14;5.07;17.9;0.88;0.44;1.56;9.23;4.62;16.29;0.03;0.01;0.05
ES24;23.760816;18.861794;38.863064;5.298992;3.828317;7.278039;17.461208;14.032861;27.449008;1.000616;1.000616;4.136017;121.1932;98.75774301;124.197056;280.9583667;228.9469555;287.9221111;0.50784948;0.413835665;0.520436876;121.4;60.7;214.23;2.94;1.47;5.19;74.86;37.43;132.1;43.6;21.8;76.94;177.82;88.91;313.8;4.3;2.15;7.6;109.65;54.83;193.5;63.86;31.93;112.7
ES30;3.129007;2.587452;5.253544;1.242819;1.033011;1.4481;1.801275;1.469528;3.367569;0.084913;0.084913;0.437875;1.388687785;0.487782806;1.629592763;2.737103625;0.961419911;3.211927336;0.034591799;0.012150525;0.040592671;26.65;13.32;47.03;14.08;7.04;24.84;6.79;3.4;11.99;5.78;2.89;10.2;39.18;19.59;69.14;20.7;10.35;36.53;9.99;4.99;17.63;8.5;4.25;14.99
ES41;54.884891;45.317402;77.896708;13.856514;9.186483;18.775417;39.477294;34.579836;52.341708;1.551083;1.551083;6.779583;228.1921683;169.1693863;235.9503708;502.1246727;372.2481949;519.1961828;0.484587318;0.359246945;0.501062584;274;137;483.53;6.07;3.04;10.71;148.22;74.11;261.56;119.71;59.86;211.26;376.29;188.15;664.05;8.34;4.17;14.71;203.55;101.77;359.21;164.4;82.2;290.13
