,,WOOD,WET_BIOMASS,ENERGY_CROPS_2,BIOWASTE,BIOMASS_RESIDUES,WASTE
avail_local,AL,4581.255833333334,584.338045992469,9680.241944444446,6.725833333333333,466.3077777777778,2732.832025
avail_local,AT,62975.06361111111,1673.6549888098607,3368.9258333333332,2905.372222222222,6478.116666666667,9524.97
avail_local,BA,11029.545833333332,448.3586111111111,21502.947222222218,0.0,855.9844444444444,2705.101818
avail_local,BE,16146.252222222221,12359.145490241002,1051.6816666666666,14952.68611111111,1985.7475,17828.79
avail_local,BG,21206.0125,1574.926784528387,16287.071666666665,1042.27,7103.55,8548.05
avail_local,CH,29228.989444444444,1423.3221902954594,0.0,8862.297222222222,1045.365,11142.0
avail_local,CZ,42286.03166666667,11764.170425822991,10697.519444444442,1122.2875,9871.822222222221,12478.99
avail_local,DE,200746.87222222224,30270.60176053766,49518.702777777784,36586.47222222222,54184.36111111111,62197.24
avail_local,DK,11527.9625,12051.923939759195,0.0,7936.086111111111,6112.488888888889,6175.53
avail_local,EE,19803.66583333333,2311.8987959642445,865.6083333333333,989.5663888888888,1701.772777777778,755.95
avail_local,GR,8533.388333333332,2185.8813508191715,5437.786944444444,953.5441666666666,5789.708333333333,9927.368
avail_local,ES,64497.52361111111,30637.92348866708,89386.06666666667,10574.63611111111,24842.558333333334,38204.55
avail_local,FI,110805.66472222222,1450.622309335963,7754.110000000001,4720.944444444444,4985.241666666667,11095.02
avail_local,FR,174300.56027777778,71778.38730500269,71972.53666666667,31515.36111111111,52998.416666666664,57777.84
avail_local,HR,12044.121388888889,907.69741720293,0.0,34.92861111111111,2083.7391666666667,3256.4
avail_local,HU,29819.11277777778,17720.34732250181,32258.569444444445,3366.980555555556,12970.733333333334,10339.07
avail_local,IE,13164.759999999998,5097.699262015288,2033.0974999999999,733.72,51.17055555555555,6536.06
avail_local,IT,73202.3111111111,32137.2613246203,37143.51944444444,11876.997222222222,16892.783333333333,52695.53
avail_local,LT,20166.621111111108,4691.8692012166375,5686.376666666667,464.21444444444444,4935.908333333333,2709.79
avail_local,LU,1589.0680555555555,422.76364868275124,0.0,46.3525,114.45888888888888,1782.879
avail_local,LV,39288.19583333333,2354.629283432617,1060.7308333333333,240.985,1913.2866666666666,569.87
avail_local,ME,1004.8013888888889,69.23333333333333,846.0016666666667,0.0,41.33777777777778,578.026217
avail_local,MK,2675.303611111111,219.52324198593428,6069.197777777777,373.83388888888885,474.8833333333333,2794.581328
avail_local,NL,4993.673611111111,13606.855455275967,5235.571111111111,18872.080555555556,1711.7033333333331,12746.48
avail_local,NO,49076.06638888889,1449.6603867903227,2320.637222222222,9270.2,1361.2675,15305.08
avail_local,PL,117347.2825,26325.774668114413,71095.04722222222,9161.869444444443,19811.058333333334,51241.78
avail_local,PT,31575.978888888887,6627.855401317581,6663.0872222222215,4892.586111111111,2080.0141666666664,17386.85
avail_local,RO,85654.93027777778,5868.542582298993,83459.57222222222,2820.072222222222,17174.191666666666,15153.89
avail_local,RS,16235.706111111112,2905.424656492605,10204.685,5929.924999999999,8898.747222222222,5350.621965
avail_local,SE,185572.58055555556,5067.814365715007,4007.6580555555556,9634.933333333334,4754.708333333333,15305.08
avail_local,SI,19827.828055555554,420.93418836623965,552.1436111111111,331.6747222222222,248.28666666666666,3256.4
avail_local,SK,21942.39222222222,3446.024173689558,1176.036111111111,1410.2133333333334,3566.2027777777776,5338.17
avail_local,GB,36890.52405333214,44965.570584211615,15388.327777777777,6611.144444444444,17967.647222222222,89969.68
avail_local,XK,777.7777784,83.3333334,14194.44446,0.0,527.77782,2442.541619
c_op_local,AL,0.0067270025501546355,0.02118824082165622,0.015641031377894733,0.0003235397799115177,0.012695882580619199,0.0062602
c_op_local,AT,0.019241868496228068,0.031180988616819998,0.02110384304316024,0.0004243323625884864,0.018459358157702627,0.00610523
c_op_local,BA,0.006748095930266737,0.014196307998061366,0.018104765316922882,0.0,0.011128982408617753,0.0062602
c_op_local,BE,0.015661117189109276,0.028059060657545255,0.024094909431467196,0.00012193033617096804,0.012638687591771856,0.01002601
c_op_local,BG,0.009018763393706053,0.012364173747705013,0.012017435794315263,2.0003696125106183e-07,0.007579087265189088,0.0054295
c_op_local,CH,0.017413847017221398,0.027655308660776975,0.0,0.0004243323625884864,0.018459358157702627,0.023080857
c_op_local,CZ,0.01789902845168877,0.013408337779486185,0.013733641003665241,7.374400950778272e-07,0.011873755337812415,0.00654747
c_op_local,DE,0.019011963315581536,0.02305655897128535,0.02035239722672585,0.00018088467681844547,0.014772311876113307,0.00945525
c_op_local,DK,0.015274323543142213,0.02528788098622149,0.0,1.1762711258147892e-05,0.013969416732323148,0.00579773
c_op_local,EE,0.009753300259573884,0.013813755018704816,0.019508884545043598,1.1639101062142909e-05,0.008666820389557872,0.01335769
c_op_local,GR,0.01616147145731135,0.01581749999498086,0.03442613329983846,0.0002205312644447885,0.014312954011246055,0.00831838
c_op_local,ES,0.01890800631655636,0.017118966202358938,0.028525506937895222,5.7285727294302e-07,0.011979322057374947,0.00717225
c_op_local,FI,0.022084259272301746,0.033104312867772774,0.023524272180704093,0.00011209561515004175,0.013134893664403728,0.00607866
c_op_local,FR,0.01765660531100425,0.022640546993237323,0.01908294779649616,0.0001995611595386418,0.008161592390731009,0.00854573
c_op_local,HR,0.008602575963120185,0.014534755740736099,0.0,8.851050867935448e-05,0.009826153805055386,0.0062602
c_op_local,HU,0.008043216981677237,0.013062502303048259,0.012482177433434626,1.0679695055934265e-05,0.00983046828094632,0.00628278
c_op_local,IE,0.018241036221732367,0.021644564667282585,0.025466326529270226,9.648708133544748e-05,0.009331785070238735,0.00891927
c_op_local,IT,0.017458832276518097,0.017589037364748525,0.02958591295924541,0.00022053126444478852,0.01205662169149182,0.01191635
c_op_local,LT,0.009771912020739324,0.014201227514155809,0.016712983911103808,0.00010397591133977699,0.007664363075356272,0.00491252
c_op_local,LU,0.019966239035062727,0.021715668610360412,0.0,1.9582109524367713e-06,0.01773516110694095,0.01002601
c_op_local,LV,0.009088024179829332,0.0139567377159232,0.019953925115366544,4.738103786667492e-07,0.007996461543079703,0.00186901
c_op_local,ME,0.0045409636414357555,0.013976619846424775,0.018104766632904435,0.0,0.014216877109984285,0.0062602
c_op_local,MK,0.006022215542508334,0.013934097696379365,0.018104764265588595,0.00011357977031672542,0.011046922630948693,0.0062602
c_op_local,NL,0.01775536400422596,0.022539472207302673,0.027998338124680923,0.00013697180885783593,0.01269622340854985,0.00812027
c_op_local,NO,0.01588143681584094,0.026236528150291427,0.03638447335620032,1.0589289633676441e-05,0.012436698192518554,0.00995628
c_op_local,PL,0.01017248766440892,0.014196817587253736,0.017755086275532895,8.787071181451105e-06,0.008057786545534825,0.01314697
c_op_local,PT,0.019986427090180395,0.01529114405694079,0.019933281889354636,1.429639706756088e-05,0.011969259773749416,0.00771797
c_op_local,RO,0.007896661205353402,0.010344455353400698,0.012644193092914422,0.0003235397799115177,0.008451628761897721,0.00578225
c_op_local,RS,0.005080065631556084,0.015595457882222795,0.018078306012947062,0.0003235397799115177,0.010868023266350365,0.0062602
c_op_local,SE,0.022332312602933915,0.02533703470669025,0.03210778576316917,1.2246375060297575e-05,0.012436698192518554,0.00995628
c_op_local,SI,0.009242778284201317,0.015752564460052174,0.011861702155336273,0.0003627743615846136,0.011716884716314607,0.0062602
c_op_local,SK,0.008602849728355953,0.013018829596808534,0.01792934614791388,5.481196019061371e-05,0.01287353384099593,0.00659634
c_op_local,GB,0.018967384559485292,0.02369550429509806,0.03005023308004064,0.0001014028859686824,0.012774441491251416,0.00823738
c_op_local,XK,0.005080065631556084,0.015595457882222795,0.018078306012947062,0.0003235397799115177,0.010868023266350365,0.0062602
