,,NUCLEAR,PV_ROOFTOP,PV_UTILITY,PT_POWER_BLOCK,ST_POWER_BLOCK,PT_COLLECTOR,ST_COLLECTOR,WIND_ONSHORE,WIND_OFFSHORE,HYDRO_DAM,HYDRO_RIVER,TIDAL_STREAM,TIDAL_RANGE,WAVE,GEOTHERMAL,DHN_DEEP_GEO,DHN_SOLAR,DEC_SOLAR,DAM_STORAGE,PHS
f_min,AL,0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6762000000000001,0.39476599999999995,0.0,0.0,0,0.0,0.0,0.0,0.0,62.267,0.001
f_min,AT,0,2.782602,0.0,0.0,0.0,0.0,0.0,3.388711,0.0,5.23842,4.730180368258108,0.0,0.0,0,0.00025,0.0,0.0,0.0,1544.8,662.09
f_min,BA,0,0.05651,0.0,0.0,0.0,0.0,0.0,0.135,0.0,1.5695,0.001,0.0,0.0,0,0.0,0.0,0.0,0.0,0.303,0.001
f_min,BE,0,6.0123999999999995,0.0,0.0,0.0,0.0,0.0,2.6866,2.2618,0.001,0.059015339742579165,0.0,0.0,0,0.0,0.0,0.0,0.0,0.001,5.71
f_min,BG,0,1.274713,0.0,0.0,0.0,0.0,0.0,0.704375,0.0,1.4995399999999999,0.0224,0.0,0.0,0,0.0,0.0,0.0,0.0,0.001,41.13
f_min,CH,0,2.9734000000000003,0.0,0.0,0.0,0.0,0.0,0.08824,0.0,9.531229999999999,4.8448198,0.0,0.0,0,0.0,0.0,0.0,0.0,1803.2,572.24
f_min,CZ,0,2.246091,0.0,0.0,0.0,0.0,0.0,0.339414,0.0,0.7114839022845103,0.040226382271496,0.0,0.0,0,0.0,0.0,0.0,0.0,0.001,2.3
f_min,DE,0,59.371,0.0,0.002,0.0,0.0,0.0,55.904,7.807,0.1895,2.67540705,0.0,0.0,0,0.046,0.0,0.0,0.0,0.001,39.878
f_min,DK,0,1.704041,0.0,0.0,0.0,0.0,0.0,4.6982479999999995,2.3057,0.001,0.001,0.0,0.0,0,0.0,0.0,0.0,0.0,0.001,0.001
f_min,EE,0,0.39476999999999995,0.0,0.0,0.0,0.0,0.0,0.315,0.0,0.001,0.001,0.0,0.0,0,0.0,0.0,0.0,0.0,0.001,0.001
f_min,GR,0,4.27742,0.0,0.0,0.0,0.0,0.0,4.64913,0.0,2.5862,0.11009999999999999,0.0,0.0,0,0.0,0.0,0.0,0.0,1855.0,5.14
f_min,ES,0,13.715196,0.0,2.304013,0.0,0.0,0.0,27.907651,0.0,8.370735,0.14700824750000002,0.004796,0.0,0,0.0,0.0,0.0,0.0,4098.442,3956.593
f_min,FI,0,0.425,0.0,0.0,0.0,0.0,0.0,3.184,0.073,1.345,1.2895999999999999,0.0,0.0,0,0.0,0.0,0.0,0.0,0.001,0.001
f_min,FR,0,14.810383,3.09,0.0,0.0,0.0,0.0,18.536821,0.0143,9.079638216560506,6.211502562490507,0.21119200000000002,0.0,0,0.016149999999999998,0.58616,0.0,0.0,2126.4,82.683
f_min,HR,0,0.1383,0.0,0.0,0.0,0.0,0.0,0.9869,0.0,1.327624458598726,0.27866773029167685,0.0,0.0,0,0.01,0.0,0.0,0.0,0.001,14.8
f_min,HU,0,2.968,0.0,0.0,0.0,0.0,0.0,0.324,0.0,0.028,0.001,0.0,0.0,0,0.003,0.0,0.0,0.0,0.001,0.001
f_min,IE,0,0.135272,0.0,0.0,0.0,0.0,0.0,4.339041,0.0,0.001,0.216,0.0,0.0,0,0.0,0.0,0.0,0.0,0.001,1.8
f_min,IT,0,22.594257000000002,0.0,0.0,0.0,0.0,0.0,11.253733,0.0,5.528239999999999,5.90196,0.0,0.0,0,0.77179,0.0,0.0,0.0,0.001,401.195
f_min,LT,0,0.255,0.0,0.0,0.0,0.0,0.0,0.671,0.0,0.101,0.001,0.0,0.0,0,0.0,0.0,0.0,0.0,0.001,10.8
f_min,LU,0,0.277161,0.0,0.0,0.0,0.0,0.0,0.13644399999999998,0.0,0.001,0.001,0.0,0.0,0,0.0,0.0,0.0,0.0,0.001,0.001
f_min,LV,0,0.007155,0.0,0.0,0.0,0.0,0.0,0.077129,0.0,0.884,0.6421,0.0,0.0,0,0.0,0.0,0.0,0.0,46.33,0.001
f_min,ME,0,0.00257,0.0,0.0,0.0,0.0,0.0,0.118,0.0,0.36296100000000003,0.31236,0.0,0.0,0,0.0,0.0,0.0,0.0,2.894,0.001
f_min,MK,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0368,0.0,0.533,0.0416,0.0,0.0,0,0.0,0.0,0.0,0.0,0.001,0.001
f_min,NL,0,14.910686,0.0,0.0,0.0,0.0,0.0,5.214305,2.4595,0.001,0.001,0.0,0.0,0,0.0,0.0,0.0,0.0,0.001,0.001
f_min,NO,0,0.20532599999999998,0.0,0.0,0.0,0.0,0.0,5.049,0.0,31.60883,0.001,0.0,0.0,0,0.0,0.0,0.0,0.0,40085.13841000001,4952.9217
f_min,PL,0,7.415518,0.0,0.0,0.0,0.0,0.0,6.967339,0.0,0.41250636942675156,0.001,0.0,0.0,0,0.0,0.0,0.0,0.0,0.6,15.69
f_min,PT,0,1.645994,0.0,0.0,0.0,0.0,0.0,5.4023270000000005,0.024999,1.3304,1.6155,0.0,0.0,0,0.0291,0.0,0.0,0.0,1097.26,453.38
f_min,RO,0,1.393922,0.0,0.0,0.0,0.0,0.0,3.014958,0.0,5.303480127388535,0.8704500000000001,0.0,0.0,0,5e-05,0.0,0.0,0.0,0.001,0.001
f_min,RS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.398,0.0,1.8753,0.311,0.0,0.0,0,0.0,0.0,0.0,0.0,646.35,0.001
f_min,SE,0,1.606,0.0,0.0,0.0,0.0,0.0,11.923,0.193,11.645763516863035,1.995,0.0,0.0,0,0.0,0.0,0.0,0.0,0.001,72.12
f_min,SI,0,0.46116399999999996,0.0,0.0,0.0,0.0,0.0,0.003328,0.0,0.6021899999999999,0.451415,0.0,0.0,0,0.0,0.0,0.0,0.0,0.001,0.001
f_min,SK,0,0.537,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.8044,0.64649,0.0,0.0,0,0.0,0.0,0.0,0.0,0.001,0.001
f_min,GB,0,13.915,0.0,0.0,0.0,0.0,0.0,14.493,11.255,0.524,0.848475,0.0,0.0,0,0.0,0.0,0.0,0.0,0.001,25.43
f_min,XK,0,0.014147999999999999,0.0,0.0,0.0,0.0,0.0,0.03375,0.0,0.035,0.030199999999999998,0.0,0.0,0,0.0,0.0,0.0,0.0,0.001,0.001
f_max,AL,0,6.514127505,74.12974987,0.0,0.0,0.0,0.0,32.89504072,0.0,2.9828943690662393,1.3845904441500594,0.0,0.0,0,0.3,0.0,26.82287796,26.82287796,62.267100000000006,210.0001
f_max,AT,0,20.310852390794317,126.61260000000003,0.0,0.0,0.0,0.0,11.048560498,0.0,5.676099999999531,7.401255855197661,0.0,0.0,0,0.5,0.0,83.63292160915304,83.63292160915304,1544.8001,662.0901
f_max,BA,0,8.125500995,249.1993635,0.0,0.0,0.0,0.0,37.81695,0.0,1.9065961468362758,2.8375147769397926,0.0,0.0,0,0.3,0.0,33.45794527,33.45794527,0.3031,73.0001
f_max,BE,0,27.14786523993995,76.9182,0.0,0.0,0.0,0.0,8.129689385,10.0,0.001,0.33207217379814974,0.0,0.0,0,0.0,0.0,111.78532745857626,111.78532745857626,0.001,6.5001
f_max,BG,0,18.132789892777012,280.8162,0.0,0.0,0.0,0.0,52.977250445,0.445,8.474982762112573,2.042335070235617,0.0,0.0,0,0.6,0.0,74.66442897025827,74.66442897025827,0.001,400.0001
f_max,CH,0,3.45,21.55,0.0,0.0,0.0,0.0,5.3,0.0,9.531329999999999,4.8449197999999996,0.0,0.0,0,0.7,0.0,14.20588235,14.20588235,1803.2001,1700.0001
f_max,CZ,0,25.40494488507775,197.68110000000001,0.0,0.0,0.0,0.0,76.20460722299998,0.0,0.8191000000000018,0.4549463933397736,0.0,0.0,0,0.4,0.0,104.60859658561425,104.60859658561425,0.001,191.0001
f_max,DE,0,190.91683592116706,796.9106999999998,0.002,0.0,0.0,0.0,106.97252483600002,79.2,0.1896,4.2331193960942555,0.4,0.4,0,2.3,0.0,786.1281479106879,786.1281479106879,0.001,359.0001
f_max,DK,0,13.810853361902545,137.98559999999998,0.0,0.0,0.0,0.0,54.669999999999995,35.0,0.001,0.001,0.0,0.0,0,0.2,0.0,56.86821972548106,56.86821972548106,0.001,0.001
f_max,EE,0,3.2512549609626213,52.076100000000004,0.0,0.0,0.0,0.0,27.28,1.28,0.001,0.07934679487179486,0.0,0.0,0,0.0,0.0,13.387520427493145,13.387520427493145,0.001,0.001
f_max,GR,0,24.327338598142045,289.49640000000005,9.5982,9.5982,22.300650557620816,20.067321764582896,168.41470527799999,0.018,7.6041,0.6635426398615666,0.0,0.0,0,0.8,0.0,100.1713942276437,100.1713942276437,1855.0001,318.0001
f_max,ES,0,98.86625197649894,1217.9106000000004,496.1484000000002,496.1484000000002,1152.7611524163574,1037.3163286640188,704.4031787690001,0.658,20.426099999998588,7.556452553915959,0.07,0.07,0,3.2,0.0,407.09633166793674,407.09633166793674,4098.4421,4800.0001
f_max,FI,0,13.683785743922646,58.7775,0.0,0.0,0.0,0.0,30.765635294,21.265,2.3831000000000544,5.601658814130171,0.0,0.0,0,0.3,0.0,56.34500012203442,56.34500012203442,0.001,0.001
f_max,FR,0,152.89285636455742,1491.6020999999996,15.085799999999997,15.085799999999997,35.05065055762081,31.54045578089065,812.8220526339999,17.0,18.20010000000006,10.318721928926047,5.0,5.0,0,4.5,1.66,629.5588203246482,629.5588203246482,2126.4001000000003,1984.0001
f_max,HR,0,10.328999065340653,89.12760000000002,0.056100000000000004,0.056100000000000004,0.13034386617100374,0.1172904035124399,24.308507353000003,2.086,4.532932498576685,0.5797703633582177,0.0,0.0,0,0.3,0.0,42.53117262199092,42.53117262199092,0.001,294.0001
f_max,HU,0,24.115250193613573,297.279,0.0,0.0,0.0,0.0,53.077312455,0.0,0.0281,0.7212997431631322,0.0,0.0,0,1.0,0.0,99.29808903252646,99.29808903252646,0.001,3.0001
f_max,IE,0,11.209326058323944,215.4036,0.0,0.0,0.0,0.0,146.5,20.0,0.001,0.22171268543666686,3.5859,3.5859,0,0.3,0.0,46.15604847545153,46.15604847545153,0.001,31.0001
f_max,IT,0,136.3955496473198,749.6235,21.394500000000004,21.394500000000004,49.708410780669155,44.73029479406232,178.30659574499998,3.4090000000000003,16.634100000001652,5.90206,0.0,0.0,0,1.1,0.0,561.628733841905,561.628733841905,0.001,1833.0001
f_max,LT,0,7.389140940995239,179.28539999999998,0.0,0.0,0.0,0.0,128.31,2.9400000000000004,0.10110000000000001,0.4488689606216847,0.0,0.0,0,0.2,0.0,30.42587446292157,30.42587446292157,0.001,10.8001
f_max,LU,0,1.3414570780727868,4.8348,0.0,0.0,0.0,0.0,0.6938067226890751,0.0,0.001,0.1493032377696739,0.0,0.0,0,0.0,0.0,5.523646792064415,5.523646792064415,0.001,0.001
f_max,LV,0,4.904583201304739,91.494,0.0,0.0,0.0,0.0,79.455,14.969999999999999,0.8841,1.63061159550115,0.0,0.0,0,0.1,0.0,20.195342593607748,20.195342593607748,46.3301,0.001
f_max,ME,0,1.541840796,9.188903013,0.0,0.0,0.0,0.0,3.48913,0.0,3.990053115670367,0.3705368467428112,0.0,0.0,0,0.3,0.0,6.348756219,6.348756219,2.8941000000000003,196.0001
f_max,MK,0,5.861661453,127.5005401,0.0,0.0,0.0,0.0,21.77783,0.0,1.9417053777075437,0.0417,0.0,0.0,0,0.3,0.0,24.13625304,24.13625304,0.001,4.0001
f_max,NL,0,38.67471407720948,96.1452,0.0,0.0,0.0,0.0,48.865,72.0,0.001,0.1045347097158,1.0,1.0,0,0.2,0.0,159.24882267086252,159.24882267086252,0.001,0.001
f_max,NO,0,20.21115666,51.33293964,0.0,0.0,0.0,0.0,273.51454,57.0,42.4730999999925,28.141072028313907,0.0,0.0,0,0.0,0.0,83.22409786,83.22409786,40085.138510000004,25170.9601
f_max,PL,0,91.18353413458237,802.1994000000003,0.0,0.0,0.0,0.0,101.54839253899999,12.31,0.41260636942675155,2.0788975631678785,0.0,0.0,0,1.2,0.0,375.46161114239794,375.46161114239794,0.6001,48.0001
f_max,PT,0,22.874921335507292,160.8795,73.13910000000001,73.13910000000001,169.9328531598513,152.9146978883546,39.189119981,0.024999,2.9071000000000122,3.5816603532158875,0.0,0.0,0,0.5,0.0,94.19085255797118,94.19085255797118,1097.2601,453.38009999999997
f_max,RO,0,48.114437745295845,713.1126,0.0,0.0,0.0,0.0,168.873065505,8.765,7.083099999999476,5.331625890755828,0.0,0.0,0,0.9,0.0,198.11827306886522,198.11827306886522,0.001,286.0001
f_max,RS,0,25.93263623,262.7773139,0.0,0.0,0.0,0.0,61.57294,0.0,1.8754,2.6595374804357235,0.0,0.0,0,0.3,0.0,106.7814433,106.7814433,646.3501,274.0001
f_max,SE,0,23.890177941622976,117.2592,0.0,0.0,0.0,0.0,133.86485007799996,31.035,21.383353063751915,10.775327808938265,0.0,0.0,0,1.3,0.0,98.37132093609459,98.37132093609459,0.001,1102.0001
f_max,SI,0,4.888806389477307,30.7887,0.0,0.0,0.0,0.0,2.4245293200000004,0.0,0.6022899999999999,1.7912996483626895,0.0,0.0,0,0.1,0.0,20.13037925078891,20.13037925078891,0.001,25.0001
f_max,SK,0,13.200197489224115,106.6818,0.0,0.0,0.0,0.0,29.292460294,0.0,0.8045,1.032025555193865,0.0,0.0,0,0.3,0.0,54.35375436739341,54.35375436739341,0.001,15.0001
f_max,GB,0,148.09217692247537,545.0268,0.0,0.0,0.0,0.0,230.0050000000001,103.605,5.239100000000027,1.234712038761011,25.2,25.2,0,1.0,0.0,609.7913167396043,609.7913167396043,0.001,1749.0001
f_max,XK,0,2.760653458,48.00038809,0.0,0.0,0.0,0.0,8.49397,0.0,0.035100000000000006,0.2583476267175525,0.0,0.0,0,0.6,0.0,11.36739659,11.36739659,0.001,97.0001
